"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
2.160,8.340
2.160,8.340
2.160,8.340
2.160,8.340
2.160,8.340
2.160,8.340
2.160,8.339
2.158,8.337
2.155,8.334
2.151,8.331
2.147,8.326
2.141,8.320
2.134,8.313
2.127,8.306
2.118,8.297
2.108,8.287
2.097,8.277
2.086,8.265
2.073,8.252
2.059,8.238
2.045,8.224
2.029,8.208
2.013,8.191
1.995,8.174
1.976,8.155
1.957,8.136
1.936,8.115
1.915,8.094
1.893,8.071
1.869,8.048
1.845,8.023
1.820,7.998
1.794,7.972
1.767,7.945
1.739,7.916
1.710,7.887
1.680,7.857
1.649,7.827
1.618,7.795
1.585,7.762
1.552,7.728
1.517,7.694
1.482,7.659
1.446,7.622
1.409,7.585
1.371,7.547
1.333,7.509
1.293,7.469
1.253,7.428
1.212,7.387
1.170,7.345
1.127,7.302
1.083,7.258
1.039,7.214
0.994,7.168
0.948,7.122
0.901,7.075
0.854,7.027
0.806,6.979
0.757,6.930
0.707,6.880
0.657,6.829
0.606,6.778
0.554,6.725
0.501,6.673
0.448,6.619
0.394,6.565
0.340,6.510
0.285,6.455
0.229,6.398
0.173,6.342
0.116,6.284
0.058,6.226
-2.619E-4,6.168
-0.059,6.108
-0.118,6.048
-0.178,5.988
-0.239,5.927
-0.300,5.866
-0.361,5.803
-0.423,5.741
-0.486,5.678
-0.549,5.614
-0.613,5.550
-0.677,5.486
-0.741,5.420
-0.806,5.355
-0.871,5.289
-0.937,5.223
-1.003,5.156
-1.070,5.089
-1.136,5.021
-1.204,4.953
-1.271,4.885
-1.339,4.816
-1.407,4.747
-1.476,4.678
-1.545,4.608
-1.614,4.538
-1.683,4.468
-1.753,4.397
-1.823,4.326
-1.893,4.255
-1.963,4.184
-2.034,4.112
-2.105,4.041
-2.175,3.969
-2.246,3.897
-2.318,3.824
-2.389,3.752
-2.460,3.679
-2.532,3.606
-2.604,3.534
-2.675,3.461
-2.747,3.388
-2.819,3.315
-2.891,3.241
-2.963,3.168
-3.035,3.095
-3.106,3.022
-3.178,2.948
-3.250,2.875
-3.322,2.802
-3.394,2.729
-3.465,2.656
-3.537,2.583
-3.608,2.510
-3.680,2.437
-3.751,2.364
-3.822,2.291
-3.893,2.219
-3.963,2.146
-4.034,2.074
-4.104,2.002
-4.174,1.930
-4.244,1.858
-4.314,1.787
-4.383,1.716
-4.452,1.645
-4.521,1.574
-4.590,1.504
-4.658,1.433
-4.726,1.363
-4.794,1.294
-4.861,1.225
-4.928,1.156
-4.994,1.087
-5.061,1.019
-5.126,0.951
-5.192,0.884
-5.257,0.817
-5.321,0.750
-5.385,0.684
-5.449,0.618
-5.512,0.553
-5.574,0.488
-5.636,0.424
-5.698,0.360
-5.759,0.296
-5.820,0.234
-5.880,0.171
-5.939,0.109
-5.998,0.048
-6.056,-0.013
-6.114,-0.073
-6.171,-0.132
-6.228,-0.191
-6.284,-0.250
-6.339,-0.307
-6.394,-0.364
-6.448,-0.421
-6.501,-0.477
-6.554,-0.532
-6.606,-0.586
-6.657,-0.640
-6.707,-0.693
-6.757,-0.746
-6.806,-0.797
-6.855,-0.848
-6.902,-0.899
-6.949,-0.948
-6.995,-0.997
-7.041,-1.045
-7.085,-1.092
-7.129,-1.139
-7.172,-1.184
-7.214,-1.229
-7.256,-1.273
-7.296,-1.317
-7.336,-1.359
-7.375,-1.401
-7.413,-1.441
-7.450,-1.481
-7.486,-1.521
-7.522,-1.559
-7.556,-1.596
-7.590,-1.633
-7.623,-1.668
-7.655,-1.703
-7.686,-1.737
