"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
3.258,9.442
3.258,9.442
3.258,9.442
3.258,9.442
3.257,9.442
3.257,9.442
3.256,9.441
3.254,9.439
3.250,9.435
3.245,9.430
3.238,9.423
3.230,9.415
3.220,9.405
3.209,9.394
3.196,9.381
3.182,9.367
3.167,9.352
3.150,9.335
3.132,9.317
3.112,9.297
3.091,9.276
3.069,9.253
3.045,9.229
3.020,9.204
2.993,9.177
2.965,9.149
2.936,9.120
2.905,9.089
2.873,9.057
2.839,9.023
2.804,8.988
2.768,8.952
2.731,8.914
2.692,8.875
2.652,8.835
2.610,8.794
2.568,8.751
2.524,8.707
2.478,8.661
2.432,8.614
2.384,8.566
2.335,8.517
2.285,8.467
2.233,8.415
2.181,8.362
2.127,8.308
2.072,8.253
2.015,8.196
1.958,8.139
1.900,8.080
1.840,8.020
1.779,7.959
1.717,7.897
1.654,7.834
1.590,7.769
1.525,7.704
1.459,7.638
1.392,7.570
1.324,7.502
1.254,7.432
1.184,7.361
1.113,7.290
1.041,7.218
0.968,7.144
0.894,7.070
0.819,6.995
0.743,6.918
0.667,6.841
0.589,6.764
0.511,6.685
0.432,6.605
0.352,6.525
0.271,6.444
0.190,6.362
0.108,6.279
0.025,6.196
-0.058,6.112
-0.143,6.027
-0.228,5.941
-0.313,5.855
-0.399,5.769
-0.486,5.681
-0.573,5.593
-0.661,5.505
-0.750,5.415
-0.839,5.326
-0.928,5.235
-1.018,5.145
-1.108,5.054
-1.199,4.962
-1.290,4.870
-1.382,4.777
-1.474,4.684
-1.566,4.591
-1.659,4.497
-1.752,4.403
-1.845,4.309
-1.939,4.215
-2.033,4.120
-2.127,4.025
-2.221,3.929
-2.315,3.834
-2.410,3.738
-2.505,3.642
-2.599,3.546
-2.694,3.450
-2.789,3.353
-2.884,3.257
-2.979,3.161
-3.074,3.064
-3.169,2.968
-3.264,2.871
-3.359,2.775
-3.454,2.678
-3.549,2.582
-3.643,2.486
-3.738,2.389
-3.832,2.293
-3.926,2.198
-4.020,2.102
-4.114,2.007
-4.207,1.911
-4.300,1.816
-4.393,1.722
-4.485,1.627
-4.577,1.533
-4.669,1.439
-4.761,1.346
-4.852,1.253
-4.942,1.160
-5.032,1.068
-5.122,0.976
-5.211,0.885
-5.300,0.794
-5.388,0.703
-5.476,0.613
-5.563,0.524
-5.649,0.435
-5.735,0.347
-5.820,0.260
-5.905,0.173
-5.989,0.086
-6.072,0.001
-6.154,-0.084
-6.236,-0.169
-6.317,-0.252
-6.397,-0.335
-6.477,-0.417
-6.556,-0.499
-6.633,-0.579
-6.711,-0.659
-6.787,-0.738
-6.862,-0.816
-6.937,-0.893
-7.010,-0.969
-7.083,-1.045
-7.154,-1.119
-7.225,-1.193
-7.295,-1.266
-7.364,-1.337
-7.432,-1.408
-7.498,-1.478
-7.564,-1.546
-7.629,-1.614
-7.693,-1.681
-7.755,-1.746
-7.817,-1.811
-7.877,-1.874
-7.936,-1.937
-7.994,-1.998
-8.051,-2.058
-8.107,-2.117
-8.162,-2.174
-8.215,-2.231
-8.268,-2.286
-8.319,-2.341
-8.369,-2.394
-8.417,-2.446
-8.465,-2.496
-8.511,-2.545
-8.556,-2.594
-8.599,-2.640
-8.642,-2.686
-8.683,-2.730
-8.723,-2.773
-8.761,-2.815
-8.798,-2.855
-8.834,-2.894
-8.868,-2.932
-8.901,-2.968
-8.933,-3.003
-8.964,-3.037
-8.993,-3.069
-9.020,-3.100
-9.046,-3.130
-9.071,-3.158
-9.095,-3.185
-9.117,-3.210
-9.138,-3.234
-9.157,-3.257
-9.175,-3.278
-9.191,-3.297
-9.206,-3.316
-9.220,-3.333
-9.232,-3.348
-9.243,-3.362
-9.252,-3.375
-9.260,-3.386
-9.267,-3.396
-9.272,-3.404
-9.275,-3.411
-9.277,-3.416
-9.278,-3.420
-9.277,-3.423
-9.275,-3.424
-9.271,-3.423
-9.266,-3.422
-9.260,-3.418
-9.252,-3.414
-9.243,-3.407
-9.232,-3.400
-9.220,-3.391
-9.206,-3.380
-9.191,-3.368
-9.174,-3.355
-9.156,-3.340
-9.137,-3.324
-9.116,-3.306
-9.094,-3.287
-9.071,-3.267
-9.046,-3.245
-9.019,-3.222
-8.992,-3.197
-8.962,-3.171
-8.932,-3.143
-8.900,-3.114
-8.867,-3.084
-8.832,-3.053
-8.797,-3.020
-8.759,-2.985
-8.721,-2.950
-8.681,-2.913
-8.640,-2.874
-8.597,-2.835
-8.553,-2.794
-8.508,-2.751
-8.462,-2.708
-8.415,-2.663
-8.366,-2.617
-8.316,-2.570
-8.264,-2.521
-8.212,-2.471
-8.158,-2.420
-8.103,-2.368
-8.047,-2.314
-7.990,-2.260
-7.932,-2.204
-7.872,-2.147
-7.811,-2.089
-7.750,-2.029
-7.687,-1.969
-7.623,-1.907
-7.558,-1.845
-7.492,-1.781
-7.425,-1.716
-7.357,-1.650
-7.287,-1.583
-7.217,-1.515
-7.146,-1.447
-7.074,-1.377
-7.001,-1.306
-6.927,-1.234
-6.852,-1.161
-6.776,-1.087
-6.700,-1.013
-6.622,-0.937
-6.544,-0.861
-6.465,-0.784
-6.385,-0.706
-6.304,-0.627
-6.222,-0.547
-6.140,-0.466
-6.057,-0.385
-5.973,-0.303
-5.889,-0.220
-5.804,-0.137
-5.718,-0.053
-5.632,0.032
-5.544,0.117
-5.457,0.204
-5.369,0.290
-5.280,0.378
-5.190,0.465
-5.101,0.554
-5.010,0.643
-4.919,0.732
-4.828,0.822
-4.736,0.913
-4.644,1.004
-4.552,1.095
-4.459,1.187
-4.366,1.279
-4.272,1.371
-4.178,1.464
-4.084,1.557
-3.989,1.651
-3.895,1.745
-3.800,1.839
-3.704,1.933
-3.609,2.027
-3.514,2.122
-3.418,2.217
-3.322,2.312
-3.226,2.407
-3.130,2.502
-3.034,2.598
-2.938,2.693
-2.842,2.789
-2.746,2.884
-2.650,2.979
-2.554,3.075
-2.458,3.170
-2.362,3.266
-2.267,3.361
-2.171,3.456
-2.076,3.551
-1.981,3.646
-1.886,3.741
-1.791,3.835
-1.697,3.929
-1.602,4.023
-1.508,4.117
-1.415,4.211
-1.321,4.304
-1.229,4.397
-1.136,4.489
-1.044,4.581
-0.952,4.673
-0.861,4.765
-0.770,4.856
-0.679,4.946
-0.590,5.036
-0.500,5.126
-0.411,5.215
-0.323,5.303
-0.236,5.391
-0.148,5.478
-0.062,5.565
0.024,5.651
0.109,5.737
0.193,5.822
0.277,5.906
0.360,5.989
0.443,6.072
0.524,6.154
0.605,6.236
0.685,6.316
0.764,6.396
0.843,6.475
0.920,6.553
0.997,6.630
1.073,6.707
1.148,6.782
1.222,6.857
1.295,6.931
1.367,7.004
1.438,7.076
1.508,7.147
1.577,7.217
1.645,7.286
1.713,7.354
1.779,7.421
1.844,7.486
1.908,7.551
1.971,7.615
2.032,7.678
2.093,7.740
2.153,7.800
2.211,7.859
2.268,7.918
2.324,7.975
2.379,8.031
2.433,8.086
2.486,8.139
2.537,8.192
2.587,8.243
2.636,8.293
2.683,8.341
2.730,8.389
2.775,8.435
2.819,8.480
2.861,8.524
2.902,8.566
2.942,8.607
2.981,8.647
3.018,8.685
3.054,8.722
3.089,8.758
3.122,8.793
3.154,8.826
3.184,8.857
3.213,8.888
3.241,8.917
3.268,8.944
3.293,8.971
3.316,8.995
3.338,9.019
3.359,9.041
3.378,9.061
3.396,9.081
3.413,9.098
3.428,9.115
3.442,9.130
3.454,9.143
3.465,9.155
3.474,9.166
3.482,9.175
3.489,9.183
3.494,9.189
3.497,9.194
3.500,9.197
3.500,9.199
3.500,9.200
3.498,9.199
3.494,9.197
3.489,9.193
3.483,9.187
3.475,9.181
3.465,9.173
3.455,9.163
3.442,9.152
3.429,9.140
3.414,9.126
3.397,9.110
3.380,9.094
3.360,9.075
3.340,9.056
3.318,9.035
3.294,9.012
3.269,8.988
3.243,8.963
3.215,8.937
3.186,8.909
3.156,8.879
3.124,8.848
3.091,8.816
3.057,8.783
3.021,8.748
2.984,8.712
2.945,8.674
2.906,8.635
2.865,8.595
2.822,8.553
2.779,8.511
2.734,8.467
2.688,8.421
2.640,8.374
2.592,8.327
2.542,8.277
2.491,8.227
2.438,8.175
2.385,8.122
2.330,8.068
2.274,8.013
2.217,7.957
2.159,7.899
2.100,7.840
2.039,7.780
1.978,7.719
1.915,7.657
1.852,7.594
1.787,7.529
1.721,7.464
1.654,7.397
1.586,7.330
1.518,7.261
1.448,7.192
1.377,7.121
1.305,7.050
1.233,6.977
1.159,6.904
1.085,6.829
1.009,6.754
0.933,6.678
0.856,6.601
0.778,6.523
0.699,6.444
0.620,6.364
0.539,6.284
0.458,6.203
0.377,6.121
0.294,6.038
0.211,5.954
0.127,5.870
0.042,5.785
-0.043,5.700
-0.129,5.614
-0.215,5.527
-0.302,5.439
-0.390,5.351
-0.478,5.262
-0.567,5.173
-0.656,5.083
-0.746,4.993
-0.836,4.902
-0.927,4.811
-1.018,4.719
-1.109,4.627
-1.201,4.535
-1.293,4.442
-1.386,4.348
-1.478,4.254
-1.572,4.160
-1.665,4.066
-1.759,3.971
-1.853,3.876
-1.947,3.781
-2.041,3.686
-2.136,3.590
-2.230,3.495
-2.325,3.399
-2.420,3.303
-2.515,3.206
-2.610,3.110
-2.705,3.014
-2.800,2.917
-2.895,2.821
-2.990,2.724
-3.085,2.628
-3.180,2.532
-3.275,2.435
-3.370,2.339
-3.464,2.243
-3.559,2.147
-3.653,2.051
-3.747,1.955
-3.841,1.860
-3.934,1.764
-4.028,1.669
-4.121,1.574
-4.214,1.480
-4.306,1.386
-4.398,1.292
-4.490,1.198
-4.581,1.105
-4.672,1.012
-4.762,0.919
-4.853,0.827
-4.942,0.736
-5.031,0.645
-5.120,0.554
-5.208,0.464
-5.295,0.374
-5.382,0.285
-5.468,0.197
-5.554,0.109
-5.639,0.021
-5.724,-0.065
-5.807,-0.152
-5.890,-0.237
-5.973,-0.322
-6.054,-0.406
-6.135,-0.489
-6.215,-0.571
-6.295,-0.653
-6.373,-0.734
-6.451,-0.814
-6.528,-0.894
-6.604,-0.972
-6.679,-1.050
-6.753,-1.127
-6.826,-1.203
-6.899,-1.278
-6.970,-1.352
-7.041,-1.425
-7.110,-1.498
-7.179,-1.569
-7.246,-1.639
-7.313,-1.708
-7.378,-1.777
-7.443,-1.844
-7.506,-1.910
-7.568,-1.975
-7.630,-2.039
-7.690,-2.102
-7.749,-2.164
-7.807,-2.225
-7.863,-2.285
-7.919,-2.343
-7.973,-2.400
-8.026,-2.456
-8.078,-2.511
-8.129,-2.565
-8.179,-2.618
-8.227,-2.669
-8.274,-2.719
-8.320,-2.768
-8.364,-2.815
-8.408,-2.862
-8.450,-2.907
-8.490,-2.951
-8.530,-2.993
-8.568,-3.034
-8.604,-3.074
-8.640,-3.112
-8.674,-3.150
-8.707,-3.185
-8.738,-3.220
-8.768,-3.253
-8.797,-3.285
-8.824,-3.315
-8.850,-3.344
-8.874,-3.372
-8.898,-3.398
-8.919,-3.423
-8.940,-3.446
-8.958,-3.468
-8.976,-3.489
-8.992,-3.508
-9.007,-3.526
-9.020,-3.542
-9.032,-3.557
-9.042,-3.571
-9.051,-3.583
-9.058,-3.593
-9.065,-3.603
-9.069,-3.610
-9.072,-3.617
-9.074,-3.621
-9.074,-3.625
-9.073,-3.627
-9.071,-3.627
-9.067,-3.626
-9.061,-3.624
-9.054,-3.620
-9.046,-3.615
-9.036,-3.608
-9.025,-3.600
-9.012,-3.590
-8.998,-3.579
-8.983,-3.567
-8.966,-3.553
-8.948,-3.537
-8.928,-3.521
-8.907,-3.502
-8.884,-3.483
-8.860,-3.462
-8.835,-3.439
-8.808,-3.415
-8.780,-3.390
-8.751,-3.364
-8.720,-3.336
-8.688,-3.306
-8.654,-3.275
-8.619,-3.243
-8.583,-3.210
-8.545,-3.175
-8.506,-3.139
-8.466,-3.101
-8.425,-3.062
-8.382,-3.022
-8.338,-2.981
-8.292,-2.938
-8.246,-2.894
-8.198,-2.849
-8.149,-2.802
-8.098,-2.754
-8.047,-2.705
-7.994,-2.655
-7.940,-2.603
-7.885,-2.550
-7.828,-2.496
-7.771,-2.441
-7.712,-2.385
-7.652,-2.327
-7.591,-2.269
-7.529,-2.209
-7.466,-2.148
-7.402,-2.086
-7.336,-2.023
-7.270,-1.959
-7.203,-1.894
-7.134,-1.827
-7.065,-1.760
-6.994,-1.692
-6.923,-1.623
-6.851,-1.552
-6.777,-1.481
-6.703,-1.409
-6.628,-1.336
-6.552,-1.261
-6.475,-1.186
-6.398,-1.111
-6.319,-1.034
-6.240,-0.956
-6.159,-0.878
-6.079,-0.799
-5.997,-0.719
-5.914,-0.638
-5.831,-0.556
-5.747,-0.474
-5.663,-0.391
-5.577,-0.307
-5.491,-0.223
-5.405,-0.137
-5.318,-0.052
-5.230,0.035
-5.141,0.122
-5.052,0.209
-4.963,0.297
-4.873,0.386
-4.783,0.475
-4.692,0.565
-4.600,0.655
-4.508,0.746
-4.416,0.837
-4.324,0.928
-4.231,1.020
-4.137,1.113
-4.044,1.205
-3.950,1.298
-3.855,1.392
-3.761,1.485
-3.666,1.579
-3.571,1.673
-3.476,1.768
-3.381,1.862
