"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
3.557,9.743
3.557,9.743
3.557,9.743
3.557,9.743
3.557,9.743
3.557,9.743
3.555,9.741
3.551,9.737
3.545,9.731
3.536,9.722
3.525,9.711
3.511,9.697
3.495,9.682
3.477,9.663
3.457,9.643
3.434,9.620
3.409,9.595
3.381,9.567
3.352,9.537
3.320,9.505
3.285,9.471
3.249,9.434
3.210,9.395
3.169,9.354
3.126,9.311
3.080,9.265
3.033,9.218
2.983,9.168
2.931,9.115
2.877,9.061
2.820,9.005
2.762,8.946
2.702,8.886
2.639,8.823
2.575,8.758
2.508,8.692
2.440,8.623
2.369,8.552
2.297,8.480
2.223,8.405
2.147,8.329
2.069,8.250
1.989,8.170
1.907,8.088
1.824,8.004
1.738,7.919
1.652,7.832
1.563,7.743
1.473,7.652
1.381,7.560
1.288,7.466
1.193,7.371
1.096,7.274
0.998,7.176
0.899,7.076
0.798,6.975
0.696,6.872
0.593,6.768
0.488,6.663
0.382,6.556
0.275,6.448
0.166,6.339
0.056,6.229
-0.054,6.118
-0.166,6.005
-0.279,5.892
-0.393,5.777
-0.507,5.662
-0.623,5.545
-0.739,5.428
-0.857,5.310
-0.975,5.191
-1.093,5.071
-1.213,4.951
-1.333,4.830
-1.454,4.708
-1.575,4.586
-1.697,4.463
-1.819,4.339
-1.942,4.215
-2.065,4.091
-2.188,3.966
-2.312,3.841
-2.436,3.716
-2.560,3.591
-2.685,3.465
-2.809,3.339
-2.934,3.213
-3.058,3.087
-3.183,2.961
-3.307,2.834
-3.432,2.708
-3.556,2.582
-3.680,2.457
-3.804,2.331
-3.927,2.206
-4.050,2.081
-4.173,1.956
-4.296,1.831
-4.418,1.707
-4.539,1.584
-4.660,1.461
-4.780,1.339
-4.900,1.217
-5.019,1.095
-5.137,0.975
-5.255,0.855
-5.371,0.736
-5.487,0.618
-5.602,0.500
-5.716,0.384
-5.829,0.268
-5.942,0.153
-6.053,0.040
-6.163,-0.073
-6.271,-0.184
-6.379,-0.295
-6.486,-0.404
-6.591,-0.512
-6.695,-0.618
-6.797,-0.724
-6.899,-0.828
-6.999,-0.931
