"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
2.539E-8,2.900
1.158E-8,2.900
-2.987E-8,2.900
-3.202E-7,2.900
-2.684E-6,2.900
-2.321E-5,2.900
-2.057E-4,2.900
-0.001,2.899
-0.001,2.899
-0.002,2.898
-0.004,2.896
-0.005,2.895
-0.007,2.893
-0.009,2.891
-0.012,2.888
-0.014,2.886
-0.017,2.883
-0.021,2.879
-0.024,2.876
-0.028,2.872
-0.032,2.868
-0.036,2.864
-0.041,2.859
-0.046,2.854
-0.051,2.849
-0.056,2.844
-0.062,2.838
-0.068,2.832
-0.074,2.826
-0.080,2.819
-0.087,2.813
-0.094,2.806
-0.101,2.798
-0.109,2.791
-0.116,2.783
-0.124,2.775
-0.132,2.767
-0.141,2.758
-0.150,2.749
-0.159,2.740
-0.168,2.731
-0.177,2.721
-0.187,2.712
-0.197,2.702
-0.207,2.691
-0.218,2.681
-0.228,2.670
-0.239,2.659
-0.250,2.648
-0.262,2.636
-0.273,2.625
-0.285,2.613
-0.297,2.601
-0.309,2.588
-0.322,2.576
-0.334,2.563
-0.347,2.550
-0.360,2.537
-0.373,2.523
-0.387,2.510
-0.401,2.496
-0.414,2.482
-0.428,2.468
-0.443,2.453
-0.457,2.439
-0.472,2.424
-0.487,2.409
-0.502,2.394
-0.517,2.378
-0.532,2.363
-0.548,2.347
-0.563,2.331
-0.579,2.315
-0.595,2.299
-0.611,2.282
-0.628,2.266
-0.644,2.249
-0.661,2.232
-0.678,2.215
-0.695,2.198
-0.712,2.180
-0.729,2.163
-0.746,2.145
-0.764,2.128
-0.782,2.110
-0.799,2.092
-0.817,2.074
-0.835,2.055
-0.853,2.037
-0.871,2.018
-0.890,2.000
-0.908,1.981
-0.927,1.962
-0.945,1.943
-0.964,1.924
-0.983,1.905
-1.002,1.886
-1.021,1.867
-1.040,1.847
-1.059,1.828
-1.078,1.808
-1.097,1.789
-1.116,1.769
-1.136,1.749
-1.155,1.729
-1.175,1.709
-1.194,1.690
-1.214,1.670
-1.233,1.650
-1.253,1.630
-1.273,1.609
-1.293,1.589
-1.312,1.569
-1.332,1.549
-1.352,1.529
-1.372,1.509
-1.391,1.488
-1.411,1.468
-1.431,1.448
-1.451,1.427
-1.471,1.407
-1.490,1.387
-1.510,1.367
-1.530,1.346
-1.550,1.326
-1.570,1.306
-1.589,1.286
-1.609,1.266
-1.629,1.245
-1.648,1.225
-1.668,1.205
-1.687,1.185
-1.707,1.165
-1.726,1.145
-1.745,1.125
-1.765,1.106
-1.784,1.086
-1.803,1.066
-1.822,1.047
-1.841,1.027
-1.860,1.008
-1.879,0.988
-1.898,0.969
-1.916,0.950
-1.935,0.930
-1.953,0.911
-1.972,0.892
-1.990,0.874
-2.008,0.855
-2.026,0.836
-2.044,0.818
-2.062,0.799
-2.079,0.781
-2.097,0.763
-2.114,0.745
-2.132,0.727
-2.149,0.709
-2.166,0.691
-2.183,0.674
-2.199,0.657
-2.216,0.639
-2.232,0.622
-2.249,0.605
-2.265,0.589
-2.281,0.572
-2.297,0.556
-2.312,0.539
-2.328,0.523
-2.343,0.507
-2.358,0.491
-2.373,0.476
-2.388,0.460
-2.402,0.445
-2.416,0.430
-2.431,0.415
-2.445,0.401
-2.458,0.386
-2.472,0.372
-2.485,0.358
-2.499,0.344
-2.511,0.330
-2.524,0.317
-2.537,0.304
-2.549,0.291
-2.561,0.278
-2.573,0.265
-2.585,0.253
-2.596,0.241
-2.607,0.229
-2.618,0.217
-2.629,0.205
-2.640,0.194
-2.650,0.183
-2.660,0.172
-2.670,0.162
-2.679,0.152
-2.689,0.141
-2.698,0.132
-2.707,0.122
-2.715,0.113
-2.724,0.104
-2.732,0.095
-2.740,0.086
-2.747,0.078
-2.754,0.070
-2.762,0.062
-2.768,0.054
-2.775,0.047
-2.781,0.040
-2.787,0.033
-2.793,0.027
-2.799,0.020
-2.804,0.014
-2.809,0.009
-2.813,0.003
-2.818,-0.002
-2.822,-0.007
-2.826,-0.012
-2.830,-0.016
-2.833,-0.020
-2.836,-0.024
-2.839,-0.027
-2.841,-0.031
-2.844,-0.034
-2.846,-0.036
-2.847,-0.039
-2.849,-0.041
-2.850,-0.043
-2.851,-0.045
-2.851,-0.046
-2.852,-0.047
-2.852,-0.048
-2.852,-0.048
-2.851,-0.049
-2.850,-0.049
-2.849,-0.048
-2.848,-0.048
-2.846,-0.047
-2.844,-0.046
-2.842,-0.044
-2.840,-0.043
-2.837,-0.041
-2.834,-0.038
-2.831,-0.036
-2.827,-0.033
-2.824,-0.030
-2.820,-0.027
-2.815,-0.023
-2.811,-0.019
-2.806,-0.015
-2.801,-0.011
-2.795,-0.006
-2.790,-0.001
-2.784,0.004
-2.777,0.010
-2.771,0.016
-2.764,0.022
-2.757,0.028
-2.750,0.035
-2.743,0.041
-2.735,0.048
-2.727,0.056
-2.718,0.063
-2.710,0.071
-2.701,0.079
-2.692,0.088
-2.683,0.096
-2.673,0.105
-2.664,0.114
-2.654,0.124
-2.643,0.133
-2.633,0.143
-2.622,0.153
-2.611,0.163
-2.600,0.174
-2.589,0.185
-2.577,0.196
-2.565,0.207
-2.553,0.219
-2.541,0.230
-2.528,0.242
-2.515,0.254
-2.502,0.267
-2.489,0.279
-2.476,0.292
-2.462,0.305
-2.449,0.318
-2.435,0.332
-2.420,0.345
-2.406,0.359
-2.391,0.373
-2.377,0.387
-2.362,0.402
-2.347,0.416
-2.331,0.431
-2.316,0.446
-2.300,0.461
-2.284,0.476
-2.268,0.492
-2.252,0.508
-2.236,0.523
-2.219,0.539
-2.202,0.556
-2.186,0.572
-2.169,0.588
-2.152,0.605
-2.134,0.622
-2.117,0.639
-2.099,0.656
-2.082,0.673
-2.064,0.690
