"vout
References : ['plot_vs(vin, vout)']
Dependency : [time]
Num. Points : [1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [vout]
Num. Points : [1006]
Matrix Size : scalar
Type : Real"
2.759,8.941
2.759,8.941
2.759,8.941
2.759,8.941
2.759,8.941
2.758,8.941
2.757,8.940
2.754,8.936
2.748,8.931
2.740,8.923
2.730,8.913
2.719,8.901
2.705,8.887
2.689,8.871
2.671,8.853
2.651,8.833
2.628,8.811
2.604,8.787
2.578,8.760
2.550,8.732
2.520,8.702
2.488,8.670
2.454,8.635
2.418,8.599
2.379,8.561
2.340,8.521
2.298,8.479
2.254,8.435
2.208,8.389
2.160,8.341
2.111,8.292
2.060,8.240
2.007,8.187
1.952,8.132
1.895,8.075
1.836,8.016
1.776,7.956
1.714,7.893
1.651,7.830
1.585,7.764
1.518,7.697
1.450,7.628
1.379,7.557
1.308,7.485
1.234,7.411
1.159,7.336
1.083,7.259
1.005,7.181
0.926,7.102
0.845,7.020
0.763,6.938
0.680,6.854
0.595,6.769
0.509,6.682
0.421,6.594
0.333,6.505
0.243,6.415
0.152,6.323
0.060,6.231
-0.034,6.137
-0.128,6.042
-0.223,5.946
-0.320,5.849
-0.417,5.751
-0.515,5.652
-0.614,5.552
-0.714,5.451
-0.815,5.350
-0.917,5.247
-1.019,5.144
-1.122,5.040
-1.226,4.935
-1.331,4.830
-1.436,4.724
-1.541,4.617
-1.648,4.510
-1.754,4.402
-1.861,4.294
-1.969,4.186
-2.077,4.077
-2.185,3.967
-2.293,3.857
-2.402,3.747
-2.511,3.637
-2.620,3.527
-2.730,3.416
-2.839,3.305
-2.949,3.194
-3.058,3.083
-3.168,2.972
-3.277,2.861
-3.386,2.750
-3.496,2.639
-3.605,2.528
-3.713,2.418
-3.822,2.308
-3.930,2.197
-4.038,2.088
-4.146,1.978
-4.253,1.869
-4.360,1.760
-4.466,1.652
-4.572,1.544
-4.677,1.437
-4.782,1.330
-4.886,1.224
-4.989,1.119
-5.092,1.014
-5.194,0.910
-5.295,0.806
-5.395,0.704
-5.494,0.602
-5.593,0.501
-5.691,0.401
-5.787,0.302
-5.883,0.204
-5.978,0.107
-6.071,0.011
-6.164,-0.084
-6.255,-0.178
-6.345,-0.271
-6.434,-0.363
-6.522,-0.453
-6.609,-0.543
-6.694,-0.631
