"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,-4.019E-9,2.000
2.000,-6.834E-8,2.000
2.000,-5.188E-7,2.000
2.000,-4.187E-6,2.000
2.000,-3.604E-5,2.000
2.000,-3.193E-4,2.000
2.000,-0.001,1.999
2.000,-0.002,1.998
2.000,-0.004,1.996
2.000,-0.006,1.994
2.000,-0.008,1.992
2.000,-0.011,1.989
2.000,-0.014,1.985
2.000,-0.018,1.982
2.000,-0.022,1.978
2.000,-0.027,1.973
2.000,-0.032,1.968
2.000,-0.037,1.963
2.000,-0.043,1.957
2.000,-0.049,1.950
2.000,-0.056,1.944
2.000,-0.063,1.937
2.000,-0.070,1.929
2.000,-0.078,1.921
2.000,-0.086,1.913
2.000,-0.095,1.904
2.000,-0.104,1.895
2.000,-0.113,1.886
2.000,-0.123,1.876
2.000,-0.133,1.866
2.000,-0.144,1.855
2.000,-0.155,1.844
2.000,-0.166,1.833
2.000,-0.177,1.821
2.000,-0.189,1.809
2.000,-0.202,1.797
2.000,-0.214,1.784
2.000,-0.227,1.771
2.000,-0.241,1.758
2.000,-0.254,1.744
2.000,-0.268,1.730
2.000,-0.282,1.716
2.000,-0.297,1.701
2.000,-0.312,1.686
2.000,-0.327,1.671
2.000,-0.342,1.655
2.000,-0.358,1.639
2.000,-0.374,1.623
2.000,-0.390,1.607
2.000,-0.407,1.590
2.000,-0.424,1.573
2.000,-0.441,1.556
2.000,-0.458,1.539
2.000,-0.475,1.521
2.000,-0.493,1.503
2.000,-0.511,1.485
2.000,-0.529,1.467
2.000,-0.547,1.448
2.000,-0.566,1.430
2.000,-0.584,1.411
2.000,-0.603,1.392
2.000,-0.622,1.372
2.000,-0.642,1.353
2.000,-0.661,1.333
2.000,-0.680,1.314
2.000,-0.700,1.294
2.000,-0.720,1.274
2.000,-0.740,1.254
2.000,-0.760,1.233
2.000,-0.780,1.213
2.000,-0.800,1.193
2.000,-0.820,1.172
2.000,-0.840,1.152
2.000,-0.861,1.131
2.000,-0.881,1.110
2.000,-0.902,1.089
2.000,-0.922,1.069
2.000,-0.943,1.048
2.000,-0.963,1.027
2.000,-0.984,1.006
2.000,-1.004,0.985
2.000,-1.025,0.964
2.000,-1.045,0.943
2.000,-1.066,0.923
2.000,-1.087,0.902
2.000,-1.107,0.881
2.000,-1.127,0.860
2.000,-1.148,0.840
2.000,-1.168,0.819
2.000,-1.188,0.798
2.000,-1.208,0.778
2.000,-1.228,0.757
2.000,-1.248,0.737
2.000,-1.268,0.717
2.000,-1.288,0.697
2.000,-1.307,0.677
2.000,-1.327,0.657
2.000,-1.346,0.638
2.000,-1.365,0.618
2.000,-1.384,0.599
2.000,-1.403,0.580
2.000,-1.421,0.561
2.000,-1.440,0.542
2.000,-1.458,0.523
2.000,-1.476,0.505
2.000,-1.494,0.486
2.000,-1.512,0.468
2.000,-1.529,0.451
2.000,-1.546,0.433
2.000,-1.563,0.416
2.000,-1.580,0.399
2.000,-1.596,0.382
2.000,-1.612,0.365
2.000,-1.628,0.349
2.000,-1.644,0.333
2.000,-1.659,0.317
2.000,-1.674,0.302
2.000,-1.689,0.287
2.000,-1.703,0.272
2.000,-1.717,0.257
2.000,-1.731,0.243
2.000,-1.744,0.229
2.000,-1.757,0.215
2.000,-1.770,0.202
2.000,-1.783,0.189
2.000,-1.795,0.177
2.000,-1.807,0.164
2.000,-1.818,0.153
2.000,-1.829,0.141
2.000,-1.840,0.130
2.000,-1.850,0.119
2.000,-1.860,0.109
2.000,-1.870,0.099
2.000,-1.879,0.089
2.000,-1.888,0.080
2.000,-1.896,0.071
2.000,-1.904,0.062
2.000,-1.912,0.054
2.000,-1.919,0.046
2.000,-1.926,0.039
2.000,-1.932,0.032
2.000,-1.938,0.026
2.000,-1.944,0.020
2.000,-1.949,0.014
2.000,-1.954,0.009
2.000,-1.958,0.004
2.000,-1.962,-0.001
2.000,-1.966,-0.005
2.000,-1.969,-0.008
2.000,-1.972,-0.011
2.000,-1.974,-0.014
2.000,-1.976,-0.016
2.000,-1.977,-0.018
2.000,-1.978,-0.020
2.000,-1.979,-0.021
2.000,-1.979,-0.021
2.000,-1.978,-0.021
2.000,-1.978,-0.021
2.000,-1.977,-0.020
2.000,-1.975,-0.019
2.000,-1.973,-0.018
2.000,-1.970,-0.016
2.000,-1.968,-0.013
2.000,-1.964,-0.010
2.000,-1.961,-0.007
2.000,-1.956,-0.003
2.000,-1.952,0.001
2.000,-1.947,0.005
2.000,-1.941,0.010
2.000,-1.936,0.016
2.000,-1.929,0.022
2.000,-1.923,0.028
2.000,-1.916,0.034
2.000,-1.908,0.042
2.000,-1.900,0.049
2.000,-1.892,0.057
2.000,-1.884,0.065
2.000,-1.875,0.074
2.000,-1.865,0.083
2.000,-1.855,0.092
2.000,-1.845,0.102
2.000,-1.835,0.112
2.000,-1.824,0.123
2.000,-1.812,0.133
2.000,-1.801,0.145
2.000,-1.789,0.156
2.000,-1.776,0.168
2.000,-1.764,0.181
2.000,-1.751,0.193
2.000,-1.737,0.206
2.000,-1.724,0.220
2.000,-1.710,0.233
2.000,-1.695,0.247
2.000,-1.681,0.262
2.000,-1.666,0.276
2.000,-1.651,0.291
2.000,-1.635,0.306
2.000,-1.619,0.322
2.000,-1.603,0.337
2.000,-1.587,0.354
2.000,-1.570,0.370
2.000,-1.554,0.386
2.000,-1.536,0.403
2.000,-1.519,0.420
2.000,-1.502,0.438
2.000,-1.484,0.455
2.000,-1.466,0.473
2.000,-1.447,0.491
2.000,-1.429,0.509
2.000,-1.410,0.527
2.000,-1.392,0.546
2.000,-1.373,0.565
2.000,-1.353,0.584
2.000,-1.334,0.603
2.000,-1.315,0.622
2.000,-1.295,0.641
2.000,-1.275,0.661
2.000,-1.255,0.681
2.000,-1.235,0.701
2.000,-1.215,0.720
2.000,-1.195,0.741
2.000,-1.175,0.761
2.000,-1.154,0.781
2.000,-1.134,0.801
2.000,-1.113,0.822
2.000,-1.092,0.842
2.000,-1.072,0.863
2.000,-1.051,0.883
2.000,-1.030,0.904
2.000,-1.009,0.924
2.000,-0.989,0.945
