"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,-9.532E-9,2.000
2.000,-9.039E-8,2.000
2.000,-6.567E-7,2.000
2.000,-5.268E-6,2.000
2.000,-4.532E-5,2.000
2.000,-4.013E-4,2.000
2.000,-0.001,1.999
2.000,-0.003,1.997
2.000,-0.005,1.995
2.000,-0.007,1.993
2.000,-0.010,1.990
2.000,-0.014,1.986
2.000,-0.018,1.982
2.000,-0.023,1.977
2.000,-0.028,1.972
2.000,-0.034,1.966
2.000,-0.040,1.960
2.000,-0.047,1.953
2.000,-0.054,1.946
2.000,-0.062,1.938
2.000,-0.070,1.930
2.000,-0.079,1.921
2.000,-0.088,1.911
2.000,-0.098,1.902
2.000,-0.108,1.891
2.000,-0.119,1.880
2.000,-0.130,1.869
2.000,-0.142,1.857
2.000,-0.154,1.845
2.000,-0.167,1.832
2.000,-0.180,1.819
2.000,-0.193,1.806
2.000,-0.207,1.792
2.000,-0.221,1.777
2.000,-0.236,1.762
2.000,-0.251,1.747
2.000,-0.267,1.731
2.000,-0.283,1.715
2.000,-0.299,1.699
2.000,-0.316,1.682
2.000,-0.333,1.665
2.000,-0.350,1.647
2.000,-0.368,1.629
2.000,-0.386,1.611
2.000,-0.405,1.592
2.000,-0.424,1.573
2.000,-0.443,1.554
2.000,-0.462,1.535
2.000,-0.482,1.515
2.000,-0.502,1.495
2.000,-0.522,1.474
2.000,-0.542,1.453
2.000,-0.563,1.433
2.000,-0.584,1.411
2.000,-0.605,1.390
2.000,-0.626,1.368
2.000,-0.648,1.347
2.000,-0.670,1.325
2.000,-0.692,1.302
2.000,-0.714,1.280
2.000,-0.736,1.258
2.000,-0.758,1.235
2.000,-0.781,1.212
2.000,-0.804,1.189
2.000,-0.826,1.166
2.000,-0.849,1.143
2.000,-0.872,1.120
2.000,-0.895,1.097
2.000,-0.918,1.073
2.000,-0.941,1.050
2.000,-0.964,1.027
2.000,-0.987,1.003
2.000,-1.010,0.980
2.000,-1.033,0.957
2.000,-1.056,0.933
2.000,-1.079,0.910
2.000,-1.102,0.886
2.000,-1.125,0.863
2.000,-1.148,0.840
2.000,-1.171,0.817
2.000,-1.193,0.794
2.000,-1.216,0.771
2.000,-1.238,0.748
2.000,-1.261,0.726
2.000,-1.283,0.703
2.000,-1.305,0.681
2.000,-1.327,0.658
2.000,-1.348,0.636
2.000,-1.370,0.615
2.000,-1.391,0.593
2.000,-1.412,0.572
2.000,-1.433,0.550
2.000,-1.453,0.529
2.000,-1.474,0.509
2.000,-1.494,0.488
2.000,-1.513,0.468
2.000,-1.533,0.448
2.000,-1.552,0.429
2.000,-1.571,0.409
2.000,-1.589,0.390
2.000,-1.608,0.372
2.000,-1.625,0.353
2.000,-1.643,0.335
2.000,-1.660,0.318
2.000,-1.677,0.300
2.000,-1.693,0.284
2.000,-1.710,0.267
2.000,-1.725,0.251
2.000,-1.740,0.235
2.000,-1.755,0.220
2.000,-1.770,0.205
2.000,-1.784,0.190
2.000,-1.797,0.176
2.000,-1.811,0.163
2.000,-1.823,0.150
2.000,-1.836,0.137
2.000,-1.847,0.125
2.000,-1.859,0.113
2.000,-1.870,0.101
2.000,-1.880,0.091
2.000,-1.890,0.080
2.000,-1.899,0.070
2.000,-1.908,0.061
2.000,-1.917,0.052
2.000,-1.925,0.044
2.000,-1.932,0.036
2.000,-1.939,0.028
2.000,-1.945,0.021
2.000,-1.951,0.015
2.000,-1.956,0.009
2.000,-1.961,0.004
2.000,-1.966,-0.001
2.000,-1.969,-0.005
2.000,-1.972,-0.009
2.000,-1.975,-0.012
2.000,-1.977,-0.014
2.000,-1.979,-0.016
2.000,-1.980,-0.018
2.000,-1.981,-0.019
2.000,-1.981,-0.019
2.000,-1.980,-0.019
2.000,-1.979,-0.019
2.000,-1.977,-0.018
