"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,1.299E-8,2.000
2.000,-2.955E-10,2.000
2.000,-9.337E-8,2.000
2.000,-8.513E-7,2.000
2.000,-7.433E-6,2.000
2.000,-6.595E-5,2.000
2.000,-2.184E-4,2.000
2.000,-4.595E-4,2.000
2.000,-0.001,1.999
2.000,-0.001,1.999
2.000,-0.002,1.998
2.000,-0.002,1.998
2.000,-0.003,1.997
2.000,-0.004,1.996
2.000,-0.005,1.995
2.000,-0.006,1.994
2.000,-0.007,1.993
2.000,-0.008,1.992
2.000,-0.009,1.991
2.000,-0.010,1.990
2.000,-0.012,1.988
2.000,-0.013,1.987
2.000,-0.015,1.985
2.000,-0.016,1.984
2.000,-0.018,1.982
2.000,-0.020,1.980
2.000,-0.022,1.978
2.000,-0.024,1.976
2.000,-0.026,1.974
2.000,-0.028,1.972
2.000,-0.030,1.970
2.000,-0.033,1.967
2.000,-0.035,1.965
2.000,-0.038,1.962
2.000,-0.040,1.960
2.000,-0.043,1.957
2.000,-0.046,1.954
2.000,-0.048,1.951
2.000,-0.051,1.948
2.000,-0.054,1.945
2.000,-0.058,1.942
2.000,-0.061,1.939
2.000,-0.064,1.936
2.000,-0.067,1.932
2.000,-0.071,1.929
2.000,-0.074,1.925
2.000,-0.078,1.922
2.000,-0.082,1.918
2.000,-0.085,1.914
2.000,-0.089,1.910
2.000,-0.093,1.906
2.000,-0.097,1.902
2.000,-0.101,1.898
2.000,-0.105,1.894
2.000,-0.110,1.890
2.000,-0.114,1.885
2.000,-0.118,1.881
2.000,-0.123,1.876
2.000,-0.127,1.872
2.000,-0.132,1.867
2.000,-0.137,1.862
2.000,-0.141,1.857
2.000,-0.146,1.853
2.000,-0.151,1.848
2.000,-0.156,1.843
2.000,-0.161,1.837
2.000,-0.166,1.832
2.000,-0.172,1.827
2.000,-0.177,1.822
2.000,-0.182,1.816
2.000,-0.188,1.811
2.000,-0.193,1.805
2.000,-0.199,1.799
2.000,-0.204,1.794
2.000,-0.210,1.788
2.000,-0.216,1.782
2.000,-0.222,1.776
2.000,-0.228,1.770
2.000,-0.234,1.764
2.000,-0.240,1.758
2.000,-0.246,1.752
2.000,-0.252,1.745
2.000,-0.258,1.739
2.000,-0.265,1.733
2.000,-0.271,1.726
2.000,-0.278,1.720
2.000,-0.284,1.713
2.000,-0.291,1.706
2.000,-0.297,1.700
2.000,-0.304,1.693
2.000,-0.311,1.686
2.000,-0.318,1.679
2.000,-0.324,1.672
2.000,-0.331,1.665
2.000,-0.338,1.658
2.000,-0.345,1.651
2.000,-0.353,1.643
2.000,-0.360,1.636
2.000,-0.367,1.629
2.000,-0.374,1.621
2.000,-0.382,1.614
2.000,-0.389,1.607
2.000,-0.396,1.599
2.000,-0.404,1.591
2.000,-0.411,1.584
2.000,-0.419,1.576
2.000,-0.427,1.568
2.000,-0.434,1.560
2.000,-0.442,1.552
2.000,-0.450,1.545
2.000,-0.458,1.537
