"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,5.117E-9,2.000
2.000,-3.180E-8,2.000
2.000,-2.903E-7,2.000
2.000,-2.396E-6,2.000
2.000,-2.068E-5,2.000
2.000,-1.832E-4,2.000
2.000,-0.001,1.999
2.000,-0.001,1.999
2.000,-0.002,1.998
2.000,-0.003,1.997
2.000,-0.005,1.995
2.000,-0.006,1.994
2.000,-0.008,1.992
2.000,-0.010,1.990
2.000,-0.013,1.987
2.000,-0.015,1.984
2.000,-0.018,1.982
2.000,-0.021,1.978
2.000,-0.025,1.975
2.000,-0.028,1.971
2.000,-0.032,1.968
2.000,-0.036,1.964
2.000,-0.041,1.959
2.000,-0.045,1.955
2.000,-0.050,1.950
2.000,-0.055,1.945
2.000,-0.060,1.940
2.000,-0.066,1.934
2.000,-0.071,1.928
2.000,-0.077,1.922
2.000,-0.083,1.916
2.000,-0.090,1.910
2.000,-0.096,1.903
2.000,-0.103,1.896
2.000,-0.110,1.889
2.000,-0.117,1.882
2.000,-0.125,1.874
2.000,-0.133,1.866
2.000,-0.141,1.859
2.000,-0.149,1.850
2.000,-0.157,1.842
2.000,-0.166,1.833
2.000,-0.174,1.825
2.000,-0.183,1.816
2.000,-0.192,1.806
2.000,-0.202,1.797
2.000,-0.211,1.787
2.000,-0.221,1.777
2.000,-0.231,1.767
2.000,-0.241,1.757
2.000,-0.251,1.747
2.000,-0.262,1.736
2.000,-0.272,1.726
2.000,-0.283,1.715
2.000,-0.294,1.703
2.000,-0.305,1.692
2.000,-0.317,1.681
2.000,-0.328,1.669
2.000,-0.340,1.657
2.000,-0.352,1.645
2.000,-0.364,1.633
2.000,-0.376,1.621
2.000,-0.388,1.609
2.000,-0.401,1.596
2.000,-0.413,1.583
2.000,-0.426,1.570
2.000,-0.439,1.557
2.000,-0.452,1.544
2.000,-0.465,1.531
2.000,-0.478,1.517
2.000,-0.492,1.504
2.000,-0.505,1.490
2.000,-0.519,1.476
2.000,-0.533,1.462
2.000,-0.546,1.448
2.000,-0.560,1.434
2.000,-0.575,1.420
2.000,-0.589,1.405
2.000,-0.603,1.391
2.000,-0.617,1.376
2.000,-0.632,1.362
2.000,-0.646,1.347
2.000,-0.661,1.332
2.000,-0.676,1.317
2.000,-0.691,1.302
2.000,-0.706,1.287
2.000,-0.720,1.272
2.000,-0.735,1.257
2.000,-0.751,1.241
2.000,-0.766,1.226
2.000,-0.781,1.210
2.000,-0.796,1.195
2.000,-0.811,1.179
2.000,-0.827,1.164
2.000,-0.842,1.148
2.000,-0.858,1.133
2.000,-0.873,1.117
2.000,-0.888,1.101
2.000,-0.904,1.085
2.000,-0.919,1.070
2.000,-0.935,1.054
2.000,-0.951,1.038
2.000,-0.966,1.022
2.000,-0.982,1.006
2.000,-0.997,0.990
2.000,-1.013,0.974
2.000,-1.028,0.959
2.000,-1.044,0.943
2.000,-1.059,0.927
2.000,-1.075,0.911
2.000,-1.090,0.895
2.000,-1.106,0.880
2.000,-1.121,0.864
2.000,-1.137,0.848
2.000,-1.152,0.832
2.000,-1.167,0.817
2.000,-1.183,0.801
2.000,-1.198,0.786
2.000,-1.213,0.770
2.000,-1.228,0.755
2.000,-1.243,0.739
2.000,-1.258,0.724
2.000,-1.273,0.709
2.000,-1.288,0.693
2.000,-1.303,0.678
2.000,-1.318,0.663
2.000,-1.332,0.648
2.000,-1.347,0.633
2.000,-1.361,0.618
2.000,-1.375,0.604
2.000,-1.390,0.589
2.000,-1.404,0.575
2.000,-1.418,0.560
2.000,-1.432,0.546
2.000,-1.446,0.532
2.000,-1.459,0.517
2.000,-1.473,0.503
2.000,-1.487,0.490
2.000,-1.500,0.476
2.000,-1.513,0.462
2.000,-1.526,0.449
2.000,-1.539,0.435
