"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,-1.408E-8,2.000
2.000,-1.086E-7,2.000
2.000,-7.704E-7,2.000
2.000,-6.160E-6,2.000
2.000,-5.296E-5,2.000
2.000,-4.691E-4,2.000
2.000,-0.002,1.998
2.000,-0.003,1.997
2.000,-0.006,1.994
2.000,-0.009,1.991
2.000,-0.012,1.988
2.000,-0.016,1.984
2.000,-0.021,1.979
2.000,-0.027,1.973
2.000,-0.033,1.967
2.000,-0.039,1.960
2.000,-0.047,1.953
2.000,-0.055,1.945
2.000,-0.063,1.937
2.000,-0.072,1.928
2.000,-0.082,1.918
2.000,-0.092,1.908
2.000,-0.103,1.897
2.000,-0.114,1.885
2.000,-0.126,1.873
2.000,-0.138,1.861
2.000,-0.151,1.848
2.000,-0.165,1.834
2.000,-0.179,1.820
2.000,-0.194,1.805
2.000,-0.209,1.790
2.000,-0.224,1.774
2.000,-0.240,1.758
2.000,-0.257,1.741
2.000,-0.274,1.724
2.000,-0.291,1.707
2.000,-0.309,1.689
2.000,-0.328,1.670
2.000,-0.346,1.651
2.000,-0.366,1.632
2.000,-0.385,1.612
2.000,-0.405,1.592
2.000,-0.425,1.572
2.000,-0.446,1.551
2.000,-0.467,1.529
2.000,-0.489,1.508
2.000,-0.510,1.486
2.000,-0.532,1.464
2.000,-0.554,1.441
2.000,-0.577,1.419
2.000,-0.600,1.396
2.000,-0.623,1.372
2.000,-0.646,1.349
2.000,-0.670,1.325
2.000,-0.693,1.301
2.000,-0.717,1.277
2.000,-0.741,1.252
2.000,-0.766,1.228
2.000,-0.790,1.203
2.000,-0.815,1.178
2.000,-0.839,1.154
2.000,-0.864,1.129
2.000,-0.889,1.103
2.000,-0.914,1.078
2.000,-0.938,1.053
2.000,-0.963,1.028
2.000,-0.988,1.002
2.000,-1.013,0.977
2.000,-1.038,0.952
2.000,-1.063,0.927
2.000,-1.088,0.901
2.000,-1.113,0.876
2.000,-1.138,0.851
2.000,-1.162,0.826
2.000,-1.187,0.801
2.000,-1.211,0.776
2.000,-1.236,0.752
2.000,-1.260,0.727
2.000,-1.284,0.703
2.000,-1.307,0.679
2.000,-1.331,0.655
2.000,-1.354,0.631
2.000,-1.377,0.608
2.000,-1.400,0.584
2.000,-1.423,0.561
2.000,-1.445,0.539
2.000,-1.467,0.516
2.000,-1.489,0.494
2.000,-1.510,0.472
2.000,-1.531,0.451
2.000,-1.552,0.429
2.000,-1.573,0.408
2.000,-1.593,0.388
2.000,-1.612,0.368
2.000,-1.632,0.348
2.000,-1.650,0.329
2.000,-1.669,0.310
2.000,-1.687,0.292
2.000,-1.704,0.274
2.000,-1.721,0.256
2.000,-1.738,0.239
2.000,-1.754,0.222
2.000,-1.770,0.206
2.000,-1.785,0.190
2.000,-1.800,0.175
2.000,-1.814,0.161
2.000,-1.828,0.147
2.000,-1.841,0.133
2.000,-1.853,0.120
2.000,-1.865,0.107
2.000,-1.877,0.095
2.000,-1.888,0.084
2.000,-1.898,0.073
2.000,-1.908,0.063
2.000,-1.917,0.053
2.000,-1.926,0.044
2.000,-1.934,0.036
2.000,-1.941,0.028
2.000,-1.948,0.021
2.000,-1.954,0.014
2.000,-1.960,0.008
2.000,-1.964,0.003
2.000,-1.969,-0.002
2.000,-1.973,-0.006
2.000,-1.976,-0.010
2.000,-1.978,-0.013
2.000,-1.980,-0.015
2.000,-1.981,-0.017
2.000,-1.982,-0.018
2.000,-1.982,-0.018
2.000,-1.981,-0.018
2.000,-1.980,-0.017
2.000,-1.978,-0.016
2.000,-1.975,-0.014
2.000,-1.972,-0.011
2.000,-1.968,-0.007
2.000,-1.964,-0.003
2.000,-1.959,0.001
2.000,-1.953,0.006
2.000,-1.947,0.012
2.000,-1.940,0.019
2.000,-1.932,0.026
2.000,-1.924,0.034
2.000,-1.915,0.042
2.000,-1.906,0.051
2.000,-1.896,0.060
2.000,-1.886,0.070
2.000,-1.875,0.081
2.000,-1.863,0.092
2.000,-1.851,0.104
2.000,-1.838,0.116
2.000,-1.825,0.129
2.000,-1.811,0.142
2.000,-1.797,0.156
2.000,-1.782,0.171
2.000,-1.767,0.186
2.000,-1.751,0.201
2.000,-1.735,0.217
2.000,-1.718,0.234
2.000,-1.701,0.251
2.000,-1.683,0.268
2.000,-1.665,0.286
2.000,-1.647,0.304
2.000,-1.628,0.323
2.000,-1.608,0.342
2.000,-1.588,0.361
2.000,-1.568,0.381
2.000,-1.548,0.401
2.000,-1.527,0.422
2.000,-1.505,0.443
2.000,-1.484,0.464
2.000,-1.462,0.486
2.000,-1.440,0.508
2.000,-1.417,0.530
2.000,-1.394,0.553
2.000,-1.371,0.576
2.000,-1.348,0.599
2.000,-1.325,0.622
2.000,-1.301,0.646
2.000,-1.277,0.669
2.000,-1.253,0.693
2.000,-1.228,0.717
2.000,-1.204,0.742
2.000,-1.179,0.766
2.000,-1.155,0.791
2.000,-1.130,0.815
2.000,-1.105,0.840
2.000,-1.080,0.865
2.000,-1.055,0.890
2.000,-1.030,0.915
2.000,-1.004,0.940
2.000,-0.979,0.965
2.000,-0.954,0.990
2.000,-0.929,1.015
2.000,-0.904,1.040
2.000,-0.879,1.065
2.000,-0.854,1.090
2.000,-0.829,1.115
2.000,-0.804,1.140
2.000,-0.779,1.165
2.000,-0.754,1.189
2.000,-0.730,1.214
2.000,-0.705,1.238
2.000,-0.681,1.262
2.000,-0.657,1.286
2.000,-0.634,1.310
2.000,-0.610,1.333
2.000,-0.587,1.356
2.000,-0.564,1.379
2.000,-0.541,1.402
2.000,-0.518,1.425
2.000,-0.496,1.447
2.000,-0.474,1.469
2.000,-0.452,1.491
2.000,-0.431,1.512
2.000,-0.410,1.533
2.000,-0.389,1.554
2.000,-0.369,1.574
2.000,-0.349,1.594
2.000,-0.330,1.613
2.000,-0.311,1.632
2.000,-0.292,1.651
2.000,-0.274,1.669
2.000,-0.256,1.687
2.000,-0.239,1.704
2.000,-0.222,1.721
2.000,-0.205,1.737
2.000,-0.190,1.753
2.000,-0.174,1.769
2.000,-0.159,1.784
2.000,-0.145,1.798
2.000,-0.131,1.812
2.000,-0.118,1.825
2.000,-0.105,1.838
2.000,-0.093,1.851
2.000,-0.081,1.862
2.000,-0.070,1.873
2.000,-0.059,1.884
2.000,-0.049,1.894
2.000,-0.040,1.903
2.000,-0.031,1.912
2.000,-0.023,1.921
2.000,-0.015,1.928
2.000,-0.008,1.935
2.000,-0.002,1.942
2.000,0.004,1.947
2.000,0.009,1.953
2.000,0.014,1.957
2.000,0.018,1.961
2.000,0.021,1.965
2.000,0.024,1.967
2.000,0.026,1.969
2.000,0.027,1.971
2.000,0.028,1.972
2.000,0.028,1.972
2.000,0.028,1.971
2.000,0.027,1.970
2.000,0.025,1.969
2.000,0.023,1.966
2.000,0.020,1.963
2.000,0.016,1.960
2.000,0.012,1.955
2.000,0.007,1.950
2.000,0.002,1.945
2.000,-0.005,1.939
2.000,-0.011,1.932
2.000,-0.018,1.925
2.000,-0.026,1.917
2.000,-0.035,1.908
2.000,-0.044,1.899
2.000,-0.054,1.890
2.000,-0.064,1.879
2.000,-0.075,1.869
2.000,-0.086,1.857
2.000,-0.098,1.845
2.000,-0.110,1.833
2.000,-0.123,1.819
2.000,-0.137,1.806
2.000,-0.151,1.792
2.000,-0.166,1.777
2.000,-0.181,1.762
2.000,-0.196,1.746
2.000,-0.212,1.730
2.000,-0.229,1.713
2.000,-0.246,1.696
2.000,-0.263,1.679
2.000,-0.281,1.661
2.000,-0.300,1.642
2.000,-0.318,1.623
2.000,-0.337,1.604
2.000,-0.357,1.584
2.000,-0.377,1.564
2.000,-0.397,1.543
2.000,-0.418,1.523
2.000,-0.439,1.501
2.000,-0.460,1.480
2.000,-0.482,1.458
2.000,-0.504,1.436
2.000,-0.526,1.413
2.000,-0.549,1.390
2.000,-0.572,1.367
2.000,-0.595,1.344
2.000,-0.618,1.321
2.000,-0.642,1.297
2.000,-0.665,1.273
2.000,-0.689,1.249
2.000,-0.713,1.224
2.000,-0.738,1.200
2.000,-0.762,1.175
2.000,-0.787,1.150
2.000,-0.811,1.126
2.000,-0.836,1.101
2.000,-0.861,1.075
2.000,-0.886,1.050
2.000,-0.910,1.025
2.000,-0.935,1.000
2.000,-0.960,0.974
2.000,-0.985,0.949
2.000,-1.010,0.924
2.000,-1.035,0.899
2.000,-1.060,0.873
2.000,-1.085,0.848
2.000,-1.110,0.823
2.000,-1.134,0.798
2.000,-1.159,0.773
2.000,-1.183,0.748
2.000,-1.208,0.724
2.000,-1.232,0.699
2.000,-1.256,0.675
2.000,-1.279,0.651
2.000,-1.303,0.627
2.000,-1.326,0.603
2.000,-1.349,0.580
2.000,-1.372,0.556
2.000,-1.395,0.533
2.000,-1.417,0.511
2.000,-1.439,0.488
2.000,-1.461,0.466
2.000,-1.482,0.444
2.000,-1.504,0.423
2.000,-1.524,0.401
2.000,-1.545,0.381
2.000,-1.565,0.360
2.000,-1.584,0.340
2.000,-1.604,0.320
2.000,-1.623,0.301
2.000,-1.641,0.282
2.000,-1.659,0.264
2.000,-1.677,0.246
2.000,-1.694,0.228
2.000,-1.710,0.211
2.000,-1.726,0.194
2.000,-1.742,0.178
2.000,-1.757,0.163
2.000,-1.772,0.147
2.000,-1.786,0.133
2.000,-1.800,0.119
2.000,-1.813,0.105
2.000,-1.826,0.092
2.000,-1.838,0.080
2.000,-1.849,0.068
2.000,-1.860,0.056
2.000,-1.870,0.045
2.000,-1.880,0.035
2.000,-1.889,0.026
2.000,-1.898,0.017
2.000,-1.906,0.008
2.000,-1.913,2.170E-4
2.000,-1.920,-0.007
2.000,-1.926,-0.014
2.000,-1.932,-0.020
2.000,-1.937,-0.025
2.000,-1.941,-0.030
2.000,-1.945,-0.034
2.000,-1.948,-0.038
2.000,-1.950,-0.041
2.000,-1.952,-0.043
2.000,-1.953,-0.045
2.000,-1.954,-0.046
2.000,-1.954,-0.046
2.000,-1.953,-0.046
2.000,-1.952,-0.045
2.000,-1.950,-0.043
2.000,-1.947,-0.041
2.000,-1.944,-0.039
2.000,-1.940,-0.035
2.000,-1.936,-0.031
2.000,-1.931,-0.026
2.000,-1.925,-0.021
2.000,-1.919,-0.015
2.000,-1.912,-0.009
2.000,-1.905,-0.002
2.000,-1.897,0.006
2.000,-1.888,0.014
2.000,-1.879,0.023
2.000,-1.869,0.033
2.000,-1.858,0.043
2.000,-1.847,0.053
2.000,-1.836,0.064
2.000,-1.824,0.076
2.000,-1.811,0.089
2.000,-1.798,0.101
2.000,-1.784,0.115
2.000,-1.770,0.129
2.000,-1.755,0.143
2.000,-1.739,0.158
2.000,-1.724,0.174
2.000,-1.707,0.190
2.000,-1.691,0.206
2.000,-1.673,0.223
2.000,-1.656,0.240
2.000,-1.638,0.258
2.000,-1.619,0.276
2.000,-1.600,0.295
2.000,-1.581,0.314
2.000,-1.561,0.334
2.000,-1.541,0.354
2.000,-1.520,0.374
2.000,-1.499,0.395
2.000,-1.478,0.416
2.000,-1.456,0.437
2.000,-1.434,0.459
2.000,-1.412,0.481
2.000,-1.390,0.503
2.000,-1.367,0.525
2.000,-1.344,0.548
2.000,-1.321,0.571
2.000,-1.297,0.595
2.000,-1.273,0.618
2.000,-1.249,0.642
2.000,-1.225,0.666
2.000,-1.201,0.690
2.000,-1.177,0.714
2.000,-1.152,0.739
2.000,-1.127,0.763
2.000,-1.102,0.788
2.000,-1.077,0.813
2.000,-1.052,0.838
2.000,-1.027,0.863
2.000,-1.002,0.888
2.000,-0.977,0.913
2.000,-0.952,0.938
2.000,-0.927,0.963
2.000,-0.901,0.988
2.000,-0.876,1.013
2.000,-0.851,1.038
2.000,-0.826,1.063
2.000,-0.801,1.088
2.000,-0.776,1.113
2.000,-0.752,1.137
2.000,-0.727,1.162
2.000,-0.702,1.186
2.000,-0.678,1.210
2.000,-0.654,1.235
2.000,-0.630,1.259
2.000,-0.606,1.282
2.000,-0.583,1.306
2.000,-0.559,1.329
2.000,-0.536,1.352
2.000,-0.513,1.375
2.000,-0.491,1.397
2.000,-0.469,1.420
2.000,-0.447,1.442
2.000,-0.425,1.463
2.000,-0.404,1.485
2.000,-0.383,1.506
2.000,-0.362,1.526
2.000,-0.342,1.546
2.000,-0.322,1.566
2.000,-0.302,1.586
2.000,-0.283,1.605
2.000,-0.265,1.624
2.000,-0.247,1.642
2.000,-0.229,1.660
2.000,-0.211,1.677
2.000,-0.195,1.694
2.000,-0.178,1.710
2.000,-0.162,1.726
2.000,-0.147,1.742
2.000,-0.132,1.756
2.000,-0.118,1.771
2.000,-0.104,1.785
2.000,-0.090,1.798
2.000,-0.078,1.811
2.000,-0.065,1.823
2.000,-0.054,1.835
2.000,-0.043,1.846
2.000,-0.032,1.857
2.000,-0.022,1.867
2.000,-0.013,1.876
2.000,-0.004,1.885
2.000,0.004,1.893
2.000,0.012,1.901
2.000,0.019,1.908
2.000,0.025,1.914
2.000,0.031,1.920
2.000,0.036,1.925
2.000,0.041,1.930
2.000,0.045,1.934
2.000,0.048,1.937
2.000,0.051,1.940
2.000,0.053,1.942
2.000,0.054,1.944
2.000,0.055,1.944
2.000,0.055,1.945
2.000,0.055,1.944
2.000,0.054,1.943
2.000,0.052,1.941
2.000,0.050,1.939
2.000,0.047,1.936
2.000,0.043,1.932
2.000,0.039,1.928
2.000,0.034,1.923
2.000,0.029,1.918
2.000,0.023,1.912
2.000,0.016,1.905
2.000,0.009,1.898
2.000,0.001,1.890
2.000,-0.008,1.881
2.000,-0.017,1.872
2.000,-0.026,1.863
2.000,-0.037,1.852
2.000,-0.047,1.841
2.000,-0.059,1.830
2.000,-0.071,1.818
2.000,-0.083,1.805
2.000,-0.096,1.792
2.000,-0.110,1.779
2.000,-0.124,1.765
2.000,-0.138,1.750
2.000,-0.154,1.735
2.000,-0.169,1.719
2.000,-0.185,1.703
2.000,-0.202,1.686
2.000,-0.219,1.669
2.000,-0.236,1.651
2.000,-0.254,1.633
2.000,-0.272,1.615
2.000,-0.291,1.596
2.000,-0.310,1.577
2.000,-0.330,1.557
2.000,-0.350,1.537
2.000,-0.370,1.516
2.000,-0.391,1.496
2.000,-0.412,1.474
2.000,-0.433,1.453
2.000,-0.455,1.431
2.000,-0.477,1.409
2.000,-0.499,1.386
2.000,-0.522,1.363
2.000,-0.545,1.340
2.000,-0.568,1.317
2.000,-0.591,1.294
2.000,-0.615,1.270
2.000,-0.638,1.246
2.000,-0.662,1.222
2.000,-0.686,1.197
2.000,-0.711,1.173
2.000,-0.735,1.148
2.000,-0.760,1.123
2.000,-0.784,1.099
2.000,-0.809,1.074
2.000,-0.834,1.048
2.000,-0.859,1.023
2.000,-0.884,0.998
2.000,-0.908,0.973
2.000,-0.933,0.948
2.000,-0.958,0.922
2.000,-0.983,0.897
2.000,-1.008,0.872
2.000,-1.033,0.846
2.000,-1.058,0.821
2.000,-1.083,0.796
2.000,-1.107,0.771
2.000,-1.132,0.746
2.000,-1.156,0.722
2.000,-1.181,0.697
2.000,-1.205,0.672
2.000,-1.229,0.648
2.000,-1.252,0.624
2.000,-1.276,0.600
2.000,-1.299,0.576
2.000,-1.323,0.553
2.000,-1.345,0.529
2.000,-1.368,0.506
2.000,-1.390,0.484
2.000,-1.412,0.461
2.000,-1.434,0.439
2.000,-1.456,0.417
2.000,-1.477,0.396
2.000,-1.497,0.375
2.000,-1.518,0.354
2.000,-1.538,0.333
2.000,-1.558,0.313
2.000,-1.577,0.293
2.000,-1.596,0.274
2.000,-1.614,0.255
2.000,-1.632,0.237
2.000,-1.650,0.219
2.000,-1.667,0.201
2.000,-1.683,0.184
2.000,-1.700,0.168
2.000,-1.715,0.151
2.000,-1.731,0.136
2.000,-1.745,0.121
2.000,-1.759,0.106
2.000,-1.773,0.092
2.000,-1.786,0.078
2.000,-1.799,0.065
2.000,-1.811,0.053
2.000,-1.822,0.041
2.000,-1.833,0.030
2.000,-1.844,0.019
2.000,-1.853,0.009
2.000,-1.862,-0.001
2.000,-1.871,-0.010
2.000,-1.879,-0.019
2.000,-1.886,-0.027
2.000,-1.893,-0.034
2.000,-1.899,-0.040
2.000,-1.905,-0.046
2.000,-1.910,-0.052
2.000,-1.914,-0.057
2.000,-1.918,-0.061
2.000,-1.921,-0.064
2.000,-1.924,-0.067
2.000,-1.926,-0.070
2.000,-1.927,-0.071
2.000,-1.927,-0.072
2.000,-1.927,-0.073
2.000,-1.927,-0.072
2.000,-1.925,-0.072
2.000,-1.923,-0.070
2.000,-1.921,-0.068
2.000,-1.918,-0.065
2.000,-1.914,-0.062
2.000,-1.909,-0.058
2.000,-1.904,-0.053
2.000,-1.899,-0.048
2.000,-1.892,-0.042
2.000,-1.886,-0.035
2.000,-1.878,-0.028
2.000,-1.870,-0.021
2.000,-1.861,-0.012
2.000,-1.852,-0.003
2.000,-1.842,0.006
2.000,-1.832,0.016
2.000,-1.821,0.027
2.000,-1.809,0.038
2.000,-1.797,0.050
2.000,-1.784,0.062
2.000,-1.771,0.075
2.000,-1.757,0.088
2.000,-1.743,0.102
2.000,-1.728,0.117
2.000,-1.713,0.132
2.000,-1.697,0.147
2.000,-1.681,0.163
2.000,-1.664,0.180
2.000,-1.647,0.197
2.000,-1.629,0.214
2.000,-1.611,0.232
2.000,-1.592,0.250
2.000,-1.574,0.269
2.000,-1.554,0.288
2.000,-1.534,0.307
2.000,-1.514,0.327
2.000,-1.494,0.348
2.000,-1.473,0.368
2.000,-1.451,0.389
2.000,-1.430,0.411
2.000,-1.408,0.432
2.000,-1.386,0.454
2.000,-1.363,0.476
2.000,-1.341,0.499
