"V1
References : ['plot_vs(vin, vout)']
Dependency : [V1]
Num. Points : [171]
Matrix Size : scalar
Type : Real","vout
References : ['plot_vs(vin, vout)']
Dependency : [V1,time]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real","plot_vs(vin, vout)
References : []
Dependency : [V1,vout]
Num. Points : [171,1006]
Matrix Size : scalar
Type : Real"
2.000,1.742E-8,2.000
2.000,1.504E-8,2.000
2.000,7.895E-9,2.000
2.000,-4.216E-8,2.000
2.000,-4.497E-7,2.000
2.000,-3.989E-6,2.000
2.000,-3.546E-5,2.000
2.000,-1.174E-4,2.000
2.000,-2.471E-4,2.000
2.000,-4.244E-4,2.000
2.000,-0.001,1.999
2.000,-0.001,1.999
2.000,-0.001,1.999
2.000,-0.002,1.998
2.000,-0.002,1.998
2.000,-0.002,1.998
2.000,-0.003,1.997
2.000,-0.004,1.996
2.000,-0.004,1.996
2.000,-0.005,1.995
2.000,-0.006,1.994
2.000,-0.006,1.994
2.000,-0.007,1.993
2.000,-0.008,1.992
2.000,-0.009,1.991
2.000,-0.010,1.990
2.000,-0.011,1.989
2.000,-0.012,1.988
2.000,-0.013,1.987
2.000,-0.014,1.986
2.000,-0.015,1.985
2.000,-0.016,1.984
2.000,-0.018,1.982
2.000,-0.019,1.981
2.000,-0.020,1.980
2.000,-0.022,1.978
2.000,-0.023,1.977
2.000,-0.025,1.975
2.000,-0.026,1.974
2.000,-0.028,1.972
2.000,-0.029,1.970
2.000,-0.031,1.969
2.000,-0.033,1.967
2.000,-0.035,1.965
2.000,-0.036,1.963
2.000,-0.038,1.961
2.000,-0.040,1.960
2.000,-0.042,1.958
2.000,-0.044,1.956
2.000,-0.046,1.953
2.000,-0.048,1.951
2.000,-0.050,1.949
2.000,-0.053,1.947
2.000,-0.055,1.945
2.000,-0.057,1.942
2.000,-0.059,1.940
2.000,-0.062,1.938
2.000,-0.064,1.935
2.000,-0.067,1.933
2.000,-0.069,1.930
2.000,-0.072,1.928
2.000,-0.074,1.925
2.000,-0.077,1.922
2.000,-0.080,1.920
2.000,-0.082,1.917
2.000,-0.085,1.914
2.000,-0.088,1.911
2.000,-0.091,1.909
2.000,-0.094,1.906
2.000,-0.096,1.903
2.000,-0.099,1.900
2.000,-0.102,1.897
2.000,-0.106,1.894
2.000,-0.109,1.890
2.000,-0.112,1.887
2.000,-0.115,1.884
2.000,-0.118,1.881
2.000,-0.121,1.877
2.000,-0.125,1.874
2.000,-0.128,1.871
2.000,-0.131,1.867
2.000,-0.135,1.864
2.000,-0.138,1.860
2.000,-0.142,1.857
2.000,-0.145,1.853
2.000,-0.149,1.849
2.000,-0.153,1.846
2.000,-0.156,1.842
2.000,-0.160,1.838
2.000,-0.164,1.834
2.000,-0.168,1.831
2.000,-0.171,1.827
2.000,-0.175,1.823
2.000,-0.179,1.819
2.000,-0.183,1.815
2.000,-0.187,1.811
2.000,-0.191,1.807
2.000,-0.195,1.803
2.000,-0.199,1.798
2.000,-0.203,1.794
2.000,-0.208,1.790
2.000,-0.212,1.786
2.000,-0.216,1.781
2.000,-0.220,1.777
2.000,-0.225,1.773
2.000,-0.229,1.768
2.000,-0.233,1.764
2.000,-0.238,1.759
2.000,-0.242,1.755
2.000,-0.247,1.750
2.000,-0.251,1.745
2.000,-0.256,1.741
2.000,-0.261,1.736
2.000,-0.265,1.731
2.000,-0.270,1.727
2.000,-0.275,1.722
2.000,-0.279,1.717
2.000,-0.284,1.712
2.000,-0.289,1.707
2.000,-0.294,1.702
2.000,-0.299,1.697
2.000,-0.304,1.692
2.000,-0.309,1.687
2.000,-0.314,1.682
2.000,-0.319,1.677
2.000,-0.324,1.672
2.000,-0.329,1.667
2.000,-0.334,1.662
2.000,-0.339,1.656
2.000,-0.344,1.651
2.000,-0.349,1.646
2.000,-0.355,1.641
2.000,-0.360,1.635
2.000,-0.365,1.630
2.000,-0.370,1.624
2.000,-0.376,1.619
2.000,-0.381,1.613
2.000,-0.386,1.608
2.000,-0.392,1.602
2.000,-0.397,1.597
2.000,-0.403,1.591
